timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601665988168,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,12,0,0
1601665988181,9,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,9,0,0
1601665988191,9,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,9,0,0
1601665988201,4,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,766,344,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665988207,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,667,1,2,http://localhost:8080/service/guestbook,6,0,0
1601665988214,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,862,318,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665988219,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,515,0
1601665988734,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665988745,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,16,0
1601665988761,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,25,0
1601665988219,567,UC_02_sendComment,500,"Number of samples in transaction : 6, number of failing samples : 2",UC_02_sendComment 1-1,,false,,35768,2551,1,2,null,0,0,2
1601665988720,13,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,13,0,0
1601665988735,9,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,9,0,0
1601665988746,9,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,9,0,0
1601665988756,5,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,862,344,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665988762,17,create_COMMENT_1,500,,UC_02_sendComment 1-1,text,false,Test failed: text expected to contain /OK/,1144,739,1,2,http://localhost:8080/service/guestbook,16,0,0
1601665988779,7,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,false,Test failed: text expected to contain /<b>Центральный банк Российской Федерации</b>: 'Отличные ребята.'/,862,318,1,2,http://localhost:8080/service/guestbook,7,0,2
